screen_name,برچسب نهایی,has_profile,has_tweet,has_temporal,has_complete_temporal,has_graph,modality_pattern
upuouo,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
kiaAbi444,human(2),True,True,True,True,False,Profile + Tweet + Temporal
TheBalochWorld,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
voltaireiran,human(2),True,True,True,True,False,Profile + Tweet + Temporal
saiedshemirani,human(2),True,True,True,True,False,Profile + Tweet + Temporal
naslsokhteh60,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ParthianE,can’t find,True,True,True,True,False,Profile + Tweet + Temporal
Silmaethdante,human(2),True,True,True,True,False,Profile + Tweet + Temporal
amoopoya,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Maryam_Rajavi_P,human(2),True,True,True,True,False,Profile + Tweet + Temporal
saman_sarraf,human(2),True,True,False,False,True,Profile + Tweet + Graph
koteh_bamishi,human(2),True,True,False,False,True,Profile + Tweet + Graph
Sheyda_RI,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Mayekhal,human(2),True,True,False,False,False,Profile + Tweet
AYAyatollahi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ab_ganji,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
AghayeThomas,unverified(4),True,True,True,True,True,Profile + Tweet + Temporal + Graph
nejatbahrami,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Iran_Mehr_2016,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Fariba60867811,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
obeydzacany,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Nazdooneh76,unverified(4),True,False,True,True,False,Profile + Temporal
GhassemiAbi,human(2),True,True,False,False,False,Profile + Tweet
r_rahimpour,can’t find,True,True,True,True,True,Profile + Tweet + Temporal + Graph
re1001za,human(2),True,True,True,True,False,Profile + Tweet + Temporal
zarin_farzad,human(2),True,True,True,True,False,Profile + Tweet + Temporal
yYh8x5hC6nxh1Wd,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
SoleymaniAzadeh,bot(1),True,True,False,False,False,Profile + Tweet
Tondbad3,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Reza__Soleimani,human(2),True,True,False,False,True,Profile + Tweet + Graph
Nasim_zephyr,bot(1),True,True,False,False,False,Profile + Tweet
iraj63569385,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
IsraelPersian,News Agent(3),True,True,True,True,True,Profile + Tweet + Temporal + Graph
FarbodArian,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
shooresh57,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
MohammadLak79,can’t find,True,True,True,True,True,Profile + Tweet + Temporal + Graph
osyangary,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
BehzadZara,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
LightofRev,human(2),True,True,True,True,False,Profile + Tweet + Temporal
milaniabbas,bot(1),True,True,False,False,True,Profile + Tweet + Graph
Javiiiid_97,unverified(4),True,False,True,True,False,Profile + Temporal
mashrotehorg,human(2),True,True,False,False,False,Profile + Tweet
HatIsRed,human(2),True,True,False,False,False,Profile + Tweet
GIV2021,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
KathyMobarez,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
hamalilalin,unverified(4),True,True,True,True,True,Profile + Tweet + Temporal + Graph
dkhos,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Gard_e_Javidan,human(2),True,True,False,False,False,Profile + Tweet
amin1917,human(2),True,True,True,True,False,Profile + Tweet + Temporal
israelrouydad,human(2),True,True,False,False,False,Profile + Tweet
liwooom,human(2),True,True,True,True,False,Profile + Tweet + Temporal
MRYAZDAN,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
PeaceHappyJoy,human(2),True,True,False,False,False,Profile + Tweet
aalchaa,human(2),True,True,True,True,False,Profile + Tweet + Temporal
tanhayektiger,human(2),True,True,False,False,True,Profile + Tweet + Graph
king_Sarab47,human(2),True,True,True,True,False,Profile + Tweet + Temporal
SamanthaIrani,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
dariush1399,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
jalovemila,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
khalaji_mehdi,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
foadshams,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
shahnazteherani,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
JamesDeanUFO,human(2),True,True,True,True,False,Profile + Tweet + Temporal
AmiinMosavii94,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Armanjasoor,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
estemnayi1,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ShawnaAzad2,human(2),True,True,True,True,False,Profile + Tweet + Temporal
khormal0098,human(2),True,True,True,True,False,Profile + Tweet + Temporal
kharmagas_UK,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Dokhi_sag,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
pahlavirezacpar,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ahampay,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Najibnaik,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
ANUBIS_GOD2,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Cowboy_datoboy,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
marianmeyer0,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
omid_133A,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ANITABAKT,bot(1),True,True,False,False,False,Profile + Tweet
nafasjan903269,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
hamidsanati6661,human(2),True,True,True,True,False,Profile + Tweet + Temporal
aghayehesam,unverified(4),True,True,False,False,False,Profile + Tweet
saraghavamian,human(2),True,True,True,True,False,Profile + Tweet + Temporal
daystar98173834,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
FereydounJRL,human(2),True,True,True,True,False,Profile + Tweet + Temporal
siamakfarid,human(2),True,True,True,True,False,Profile + Tweet + Temporal
interchapga,human(2),True,True,True,True,False,Profile + Tweet + Temporal
mahistan,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
irandokht_20,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
SooreBoz,human(2),True,True,False,False,False,Profile + Tweet
Baraye_Azadi_,human(2),True,True,True,True,False,Profile + Tweet + Temporal
memarsadeghi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
amirmoghadam_ir,human(2),True,True,True,True,False,Profile + Tweet + Temporal
MadariSarzamin,human(2),True,True,False,False,False,Profile + Tweet
eisa_1355,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
DJHastamMoHo,human(2),True,True,True,True,False,Profile + Tweet + Temporal
keykemiveyi,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Arianrad5,unverified(4),True,True,True,True,True,Profile + Tweet + Temporal + Graph
REZAKH__,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ali_bitarafan5,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
sourenasanto,human(2),True,True,True,True,False,Profile + Tweet + Temporal
RShemroon,can’t find,True,True,True,True,True,Profile + Tweet + Temporal + Graph
yebekhe,human(2),True,True,False,False,False,Profile + Tweet
Aryammehr_2,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ZananFirouzehie,bot(1),True,True,False,False,False,Profile + Tweet
hambastegi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ImNotMarsh,bot(1),True,True,False,False,False,Profile + Tweet
neo_pahlavism1,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
policenama1401,human(2),True,True,True,True,False,Profile + Tweet + Temporal
YarabAydad,bot(1),True,True,False,False,False,Profile + Tweet
alinaghi2018,human(2),True,True,True,True,False,Profile + Tweet + Temporal
thesittinggav,bot(1),True,True,False,False,False,Profile + Tweet
Sepideh52191550,bot(1),True,True,False,False,False,Profile + Tweet
IRANIAZAD140,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Tinabakhshi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
AmiriySara,human(2),True,True,False,False,True,Profile + Tweet + Graph
satggin,human(2),True,True,True,True,False,Profile + Tweet + Temporal
RezaVaisi,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Benyami1980,bot(1),True,True,False,False,False,Profile + Tweet
ARDESHIR005,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Sepiderashidi,can’t find,True,True,False,False,False,Profile + Tweet
netvand,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Goftaniha,human(2),True,True,True,True,False,Profile + Tweet + Temporal
rezatorkamand,human(2),True,True,True,True,False,Profile + Tweet + Temporal
patrick_jane77,human(2),True,True,False,False,False,Profile + Tweet
PhoenixprjIran,unverified(4),True,True,True,True,True,Profile + Tweet + Temporal + Graph
MonarchyLondon,can’t find,True,True,True,True,True,Profile + Tweet + Temporal + Graph
sandys_khor,human(2),True,True,True,True,False,Profile + Tweet + Temporal
jalilparsi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
parla91979,can’t find,True,True,True,True,False,Profile + Tweet + Temporal
alale26361947,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Radiomashrooteh,human(2),True,True,False,False,False,Profile + Tweet
imdearie2,human(2),True,True,True,True,False,Profile + Tweet + Temporal
kouli2017,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Awat_Baggio,human(2),True,True,False,False,False,Profile + Tweet
golrokhiraee,human(2),True,True,True,True,False,Profile + Tweet + Temporal
RageAndHope,human(2),True,True,False,False,False,Profile + Tweet
Ali49781135,bot(1),True,True,False,False,True,Profile + Tweet + Graph
Baran27922,human(2),True,True,False,False,False,Profile + Tweet
AkhoondeMorde,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
MRasayeshh,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
ForadiMohammad,can’t find,True,True,True,True,False,Profile + Tweet + Temporal
amiirhosseiinam,can’t find,True,True,False,False,False,Profile + Tweet
trollsiasi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Sashtyani,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
MasIoob,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
sirous15,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
NikiPatriot,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Far_yaddd,human(2),True,True,True,True,False,Profile + Tweet + Temporal
fairghh,human(2),True,True,False,False,False,Profile + Tweet
vahid_esmaeilii,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Achaemenid2582,human(2),True,True,True,True,False,Profile + Tweet + Temporal
IQazaal,human(2),True,True,True,True,False,Profile + Tweet + Temporal
IranNewsAgency0,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
nargesfnd,human(2),True,True,True,True,False,Profile + Tweet + Temporal
FeryTiamo,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
drfalahatpishe,human(2),True,True,False,False,False,Profile + Tweet
BugsBuny90,human(2),True,True,True,True,False,Profile + Tweet + Temporal
IranianPlateau,human(2),True,True,True,True,False,Profile + Tweet + Temporal
F_Mohajerani,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Pirooz25372,human(2),True,True,True,True,False,Profile + Tweet + Temporal
PersianGW,human(2),True,True,True,True,False,Profile + Tweet + Temporal
yekta52341478,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Kamran99575602,human(2),True,True,True,True,False,Profile + Tweet + Temporal
NilaBehzadi,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
thetwelfth_Imam,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
Charchism,human(2),True,True,True,True,False,Profile + Tweet + Temporal
BamdadPirouzi,bot(1),True,True,False,False,False,Profile + Tweet
Arrested_voice,human(2),True,True,False,False,True,Profile + Tweet + Graph
searusM,human(2),True,True,True,True,False,Profile + Tweet + Temporal
2002Kingfox,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
boss_big666,can’t find,True,True,True,True,True,Profile + Tweet + Temporal + Graph
rosaparto,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
MehdiMMJ,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Parinaz_ETSM,human(2),True,True,True,True,False,Profile + Tweet + Temporal
merlin_a_h,human(2),True,True,True,True,False,Profile + Tweet + Temporal
itshamedfard,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
tanha1358,human(2),True,True,True,True,False,Profile + Tweet + Temporal
RFI_Fa,News Agent(3),True,True,True,True,True,Profile + Tweet + Temporal + Graph
NapelOn_daii,human(2),True,True,False,False,False,Profile + Tweet
kasrakarimi3,human(2),True,True,True,True,False,Profile + Tweet + Temporal
__H59__,human(2),True,True,False,False,False,Profile + Tweet
Fakhravar,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
cicikhanoom,can’t find,True,True,False,False,True,Profile + Tweet + Graph
parsi27871,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
vanheda97,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
The_Doonald,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
hassanshariatm5,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
NahidGhani,human(2),True,True,False,False,True,Profile + Tweet + Graph
iranaxis,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
hasanakevazir1,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
goodbadatusa,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
DeTahmineh,human(2),True,True,True,True,False,Profile + Tweet + Temporal
majid_ranjbaran,human(2),True,True,True,True,False,Profile + Tweet + Temporal
AplcarolineDr,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Iranistics_UT,human(2),True,True,True,True,False,Profile + Tweet + Temporal
EghbaliBabak,human(2),True,True,False,False,False,Profile + Tweet
fardad200,human(2),True,True,True,True,False,Profile + Tweet + Temporal
faraaaz21_,unverified(4),True,True,False,False,False,Profile + Tweet
zootopiazz,human(2),True,True,True,True,False,Profile + Tweet + Temporal
SaharKhodayarii,can’t find,True,True,True,True,False,Profile + Tweet + Temporal
adam_hesabi,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Havin_N5,bot(1),True,True,False,False,False,Profile + Tweet
KhatibiOfficial,human(2),True,True,True,True,False,Profile + Tweet + Temporal
arthorfmorgan,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
EpochTimesPer,News Agent(3),True,True,True,True,False,Profile + Tweet + Temporal
PMOIRAN,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
IrTimes,human(2),True,True,True,True,False,Profile + Tweet + Temporal
reptile_fight,human(2),True,True,True,True,False,Profile + Tweet + Temporal
esmaeilion,human(2),True,True,True,True,False,Profile + Tweet + Temporal
kouroch7,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Schahrzad_b,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
BardyaBorna,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
ordinaryman1980,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Moriyarty1,can’t find,True,True,False,False,True,Profile + Tweet + Graph
niko123niki,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Benyamin_SADR,human(2),True,True,True,True,False,Profile + Tweet + Temporal
iran_misazamat,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Nilgonbanoo,human(2),True,True,True,True,False,Profile + Tweet + Temporal
AlArabiya_Fa,News Agent(3),True,True,True,True,True,Profile + Tweet + Temporal + Graph
baaarzaaakh,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ShahinMajelan,human(2),True,True,True,True,False,Profile + Tweet + Temporal
brgsht8970,human(2),True,True,False,False,False,Profile + Tweet
mirakh838,human(2),True,True,False,False,False,Profile + Tweet
Ariamehhr,human(2),True,True,True,True,False,Profile + Tweet + Temporal
shah_parast_k,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
hadint83,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
BobbyHeravi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
aminkhss,human(2),True,True,True,True,False,Profile + Tweet + Temporal
DawnAndTheX,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Ted_homan1361,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
IranianArts,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
vajname,human(2),True,True,False,False,True,Profile + Tweet + Graph
MayraYazdari,human(2),True,True,False,False,True,Profile + Tweet + Graph
YRnESzv9zRLIXuQ,human(2),True,True,False,False,False,Profile + Tweet
farshadeashour,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Ffarhad7412,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Addison77866447,human(2),True,True,True,True,False,Profile + Tweet + Temporal
RezaRez11109331,bot(1),True,True,False,False,False,Profile + Tweet
nav11dd,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
ariamehr104,human(2),True,True,True,True,False,Profile + Tweet + Temporal
mahboubeh_mdi,human(2),True,True,False,False,False,Profile + Tweet
limondar0,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Siavashshahy,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
baharr_ali,human(2),True,True,True,True,False,Profile + Tweet + Temporal
cpiparty,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
m_rahmanifar,human(2),True,True,False,False,True,Profile + Tweet + Graph
california123AA,human(2),True,True,True,True,False,Profile + Tweet + Temporal
AmirHadiAnvari,human(2),True,True,True,True,False,Profile + Tweet + Temporal
faribadavodi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
partneremma,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
L0mpan,human(2),True,True,False,False,False,Profile + Tweet
DarkSheepRise,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
hadimehrane1,human(2),True,True,True,True,False,Profile + Tweet + Temporal
fatemeh_sadat91,human(2),True,True,True,True,False,Profile + Tweet + Temporal
HosseinGhatib,human(2),True,True,True,True,False,Profile + Tweet + Temporal
moh_heidari,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
mobarez_nastooh,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
StupidJalal,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Mmlekate,human(2),True,True,False,False,True,Profile + Tweet + Graph
Maryam_Rajavi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
YasiPatriot,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Chetoriarzeshi,human(2),True,True,False,False,False,Profile + Tweet
asoupar,human(2),True,True,True,True,False,Profile + Tweet + Temporal
bashirtash,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Roobahyab1,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
ProSHaHansHaaHi,human(2),True,True,False,False,False,Profile + Tweet
CyrusGreatSon,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
IraniMamoka,human(2),True,True,True,True,False,Profile + Tweet + Temporal
pk20333999,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
PanteaRasouli,bot(1),True,True,False,False,True,Profile + Tweet + Graph
onlymuratt,human(2),True,True,True,True,False,Profile + Tweet + Temporal
R0tterdamer,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Arsalan_shizi,can’t find,True,True,True,True,False,Profile + Tweet + Temporal
Bahram2541,human(2),True,True,False,False,False,Profile + Tweet
KarimSnowman,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Parvin965631051,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
0xKaveh,unverified(4),True,True,False,False,True,Profile + Tweet + Graph
Peleja11,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
yalnizkartal041,bot(1),True,True,False,False,False,Profile + Tweet
RezaSensourfree,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Mohadeseh1133,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ba262626,human(2),True,True,True,True,False,Profile + Tweet + Temporal
matmat1389,human(2),True,True,True,True,False,Profile + Tweet + Temporal
iran22851566,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Tinaaa2048,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Bermooda1380739,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
Jo5x8HaTcF3o5Px,human(2),True,True,True,True,False,Profile + Tweet + Temporal
hardseltzerr,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Neda73Neda,human(2),True,True,True,True,False,Profile + Tweet + Temporal
ayazi_kamran,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
koruosh2023,human(2),True,True,True,True,False,Profile + Tweet + Temporal
FarsNews_Agency,News Agent(3),True,True,True,True,True,Profile + Tweet + Temporal + Graph
azadsocial_,human(2),True,True,True,True,False,Profile + Tweet + Temporal
off734,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
GenJahanbani,bot(1),True,True,False,False,False,Profile + Tweet
itisbatgirl,human(2),True,True,True,True,False,Profile + Tweet + Temporal
maanii_a,human(2),True,True,True,True,False,Profile + Tweet + Temporal
TheNorth_A,News Agent(3),True,True,False,False,False,Profile + Tweet
kshahrooz,human(2),True,True,True,True,False,Profile + Tweet + Temporal
pardisa6,can’t find,True,True,False,False,False,Profile + Tweet
Baranaryaee2,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
myfootkin,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
nasrinraj,human(2),True,True,True,True,False,Profile + Tweet + Temporal
avantgardearses,human(2),True,True,True,True,False,Profile + Tweet + Temporal
JavidShah0000,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
AzadehKhorasan,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
atheistcyrus,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Iran_Farda1,human(2),True,True,True,True,False,Profile + Tweet + Temporal
HirAn_irani,human(2),True,True,True,True,False,Profile + Tweet + Temporal
knbhgfk,human(2),True,True,True,True,False,Profile + Tweet + Temporal
hadinik,human(2),True,True,True,True,False,Profile + Tweet + Temporal
shirkhaan69,human(2),True,True,True,True,False,Profile + Tweet + Temporal
omid_AV2,bot(1),True,True,True,True,True,Profile + Tweet + Temporal + Graph
chamli69,human(2),True,True,False,False,False,Profile + Tweet
MohammadSigari,human(2),True,True,False,False,False,Profile + Tweet
rayehe_rabi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
hojjat_kalashi,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Kolmar_kolmar,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
SabaBakhtyari,human(2),True,True,True,True,False,Profile + Tweet + Temporal
Nargolsafa,unverified(4),True,True,True,True,False,Profile + Tweet + Temporal
Mahmoud55791825,bot(1),True,True,False,False,False,Profile + Tweet
benyamin_aras,human(2),True,True,False,False,True,Profile + Tweet + Graph
zhiyan_shah,human(2),True,True,True,True,False,Profile + Tweet + Temporal
parspersian,human(2),True,True,True,True,False,Profile + Tweet + Temporal
foster_spar,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
mostafaa2024,can’t find,True,True,True,True,False,Profile + Tweet + Temporal
IR_Kermanshah,can’t find,True,True,True,True,True,Profile + Tweet + Temporal + Graph
GhoreishiR,bot(1),True,True,True,True,False,Profile + Tweet + Temporal
homeyramis,human(2),True,True,True,True,False,Profile + Tweet + Temporal
rouhanim,News Agent(3),True,True,True,True,True,Profile + Tweet + Temporal + Graph
Behzadhamrahi,human(2),True,True,True,True,False,Profile + Tweet + Temporal
persepolis78,human(2),True,True,True,True,False,Profile + Tweet + Temporal
YaarGhadimi,bot(1),True,True,False,False,False,Profile + Tweet
ryaniran,human(2),True,True,True,True,True,Profile + Tweet + Temporal + Graph
